test_data,I_a,I_b,I_c,Fault_Type
396,0.000000,2.293189,2.293189,1.000000
397,0.000000,2.292934,2.292934,1.000000
398,0.000000,2.296012,2.296012,1.000000
399,0.000000,2.296103,2.296103,1.000000
400,0.000000,2.292965,2.292965,1.000000
401,0.000000,2.294615,2.294615,1.000000
402,0.000000,2.292859,2.292859,1.000000
403,0.000000,2.293017,2.293017,1.000000
404,0.000000,2.293166,2.293166,1.000000
405,0.000000,2.293826,2.293826,1.000000
406,0.000000,2.295620,2.295620,1.000000
407,0.000000,2.294465,2.294465,1.000000
408,0.000000,2.293811,2.293811,1.000000
409,0.000000,2.296007,2.296007,1.000000
410,0.000000,2.294964,2.294964,1.000000
411,0.000000,2.295903,2.295903,1.000000
412,0.000000,2.294151,2.294151,1.000000
413,0.000000,2.294514,2.294514,1.000000
414,0.000000,2.295595,2.295595,1.000000
415,0.000000,2.294882,2.294882,1.000000
416,0.000000,2.293926,2.293926,1.000000
417,0.000000,2.294559,2.294559,1.000000
418,0.000000,2.296117,2.296117,1.000000
419,0.000000,2.293129,2.293129,1.000000
420,0.000000,2.294774,2.294774,1.000000
421,0.000000,2.295124,2.295124,1.000000
422,0.000000,2.293188,2.293188,1.000000
423,0.000000,2.292973,2.292973,1.000000
424,0.000000,2.294940,2.294940,1.000000
425,0.000000,2.294333,2.294333,1.000000
426,0.000000,2.295225,2.295225,1.000000
427,0.000000,2.295305,2.295305,1.000000
428,0.000000,2.294743,2.294743,1.000000
429,0.000000,2.294516,2.294516,1.000000
430,0.000000,2.295536,2.295536,1.000000
431,0.000000,2.293263,2.293263,1.000000
432,0.000000,2.294851,2.294851,1.000000
433,0.000000,2.295847,2.295847,1.000000
434,0.000000,2.294075,2.294075,1.000000
435,0.000000,2.294932,2.294932,1.000000
436,0.000000,2.293825,2.293825,1.000000
437,0.000000,2.294929,2.294929,1.000000
438,0.000000,2.293658,2.293658,1.000000
439,0.000000,2.293641,2.293641,1.000000
440,0.000000,2.294294,2.294294,1.000000
441,0.000000,2.295063,2.295063,1.000000
442,0.000000,2.294656,2.294656,1.000000
443,0.000000,2.294531,2.294531,1.000000
444,0.000000,2.294662,2.294662,1.000000
445,0.000000,2.294710,2.294710,1.000000
446,0.000000,2.294480,2.294480,1.000000
447,0.000000,2.295835,2.295835,1.000000
448,0.000000,2.294445,2.294445,1.000000
449,0.000000,2.295754,2.295754,1.000000
450,0.000000,2.294788,2.294788,1.000000
451,0.000000,2.295446,2.295446,1.000000
452,0.000000,2.295638,2.295638,1.000000
453,0.000000,2.295149,2.295149,1.000000
454,0.000000,2.294881,2.294881,1.000000
455,0.000000,2.294713,2.294713,1.000000
