test_data,I_a,I_b,I_c,Fault_Type
415,2.649930,2.649930,2.649930,0.000000
416,2.644388,2.644388,2.644388,0.000000
417,2.649177,2.649177,2.649177,0.000000
418,2.641423,2.641423,2.641423,0.000000
419,2.647599,2.647599,2.647599,0.000000
420,2.649934,2.649934,2.649934,0.000000
421,2.649592,2.649592,2.649592,0.000000
422,2.647527,2.647527,2.647527,0.000000
423,2.650260,2.650260,2.650260,0.000000
424,2.645758,2.645758,2.645758,0.000000
425,2.642496,2.642496,2.642496,0.000000
426,2.648496,2.648496,2.648496,0.000000
427,2.643637,2.643637,2.643637,0.000000
428,2.647740,2.647740,2.647740,0.000000
429,2.646683,2.646683,2.646683,0.000000
430,2.645798,2.645798,2.645798,0.000000
431,2.650064,2.650064,2.650064,0.000000
432,2.649685,2.649685,2.649685,0.000000
433,2.644958,2.644958,2.644958,0.000000
434,2.644084,2.644084,2.644084,0.000000
435,2.648135,2.648135,2.648135,0.000000
436,2.641986,2.641986,2.641986,0.000000
437,2.641572,2.641572,2.641572,0.000000
438,2.641280,2.641280,2.641280,0.000000
439,2.646316,2.646316,2.646316,0.000000
440,2.647508,2.647508,2.647508,0.000000
441,2.642238,2.642238,2.642238,0.000000
442,2.646978,2.646978,2.646978,0.000000
443,2.645807,2.645807,2.645807,0.000000
444,2.649604,2.649604,2.649604,0.000000
445,2.644010,2.644010,2.644010,0.000000
446,2.644338,2.644338,2.644338,0.000000
447,2.642401,2.642401,2.642401,0.000000
448,2.646728,2.646728,2.646728,0.000000
449,2.647519,2.647519,2.647519,0.000000
450,2.648602,2.648602,2.648602,0.000000
451,2.646371,2.646371,2.646371,0.000000
452,2.648117,2.648117,2.648117,0.000000
453,2.648581,2.648581,2.648581,0.000000
454,2.650426,2.650426,2.650426,0.000000
455,2.641585,2.641585,2.641585,0.000000
456,2.644410,2.644410,2.644410,0.000000
457,2.641972,2.641972,2.641972,0.000000
458,2.647669,2.647669,2.647669,0.000000
459,2.643842,2.643842,2.643842,0.000000
460,2.642392,2.642392,2.642392,0.000000
461,2.649433,2.649433,2.649433,0.000000
462,2.646106,2.646106,2.646106,0.000000
463,2.645528,2.645528,2.645528,0.000000
464,2.642250,2.642250,2.642250,0.000000
465,2.646126,2.646126,2.646126,0.000000
466,2.641926,2.641926,2.641926,0.000000
467,2.643385,2.643385,2.643385,0.000000
468,2.643204,2.643204,2.643204,0.000000
469,2.646765,2.646765,2.646765,0.000000
470,2.645578,2.645578,2.645578,0.000000
471,2.650373,2.650373,2.650373,0.000000
472,2.646952,2.646952,2.646952,0.000000
473,2.647183,2.647183,2.647183,0.000000
474,2.644518,2.644518,2.644518,0.000000
475,2.646551,2.646551,2.646551,0.000000
476,2.647117,2.647117,2.647117,0.000000
477,2.649633,2.649633,2.649633,0.000000
478,2.641394,2.641394,2.641394,0.000000
479,2.641688,2.641688,2.641688,0.000000
480,2.646844,2.646844,2.646844,0.000000
481,2.643329,2.643329,2.643329,0.000000
482,2.649212,2.649212,2.649212,0.000000
483,2.642746,2.642746,2.642746,0.000000
484,2.646209,2.646209,2.646209,0.000000
485,2.646203,2.646203,2.646203,0.000000
486,2.647311,2.647311,2.647311,0.000000
487,2.645412,2.645412,2.645412,0.000000
488,2.642276,2.642276,2.642276,0.000000
489,2.645785,2.645785,2.645785,0.000000
490,2.649651,2.649651,2.649651,0.000000
491,2.647576,2.647576,2.647576,0.000000
492,2.649738,2.649738,2.649738,0.000000
493,2.646096,2.646096,2.646096,0.000000
494,2.650363,2.650363,2.650363,0.000000
495,2.642164,2.642164,2.642164,0.000000
496,2.644253,2.644253,2.644253,0.000000
497,2.646459,2.646459,2.646459,0.000000
498,2.649622,2.649622,2.649622,0.000000
499,2.646529,2.646529,2.646529,0.000000
500,2.642673,2.642673,2.642673,0.000000
501,2.650289,2.650289,2.650289,0.000000
502,2.642491,2.642491,2.642491,0.000000
503,2.645795,2.645795,2.645795,0.000000
504,2.644941,2.644941,2.644941,0.000000
505,2.646420,2.646420,2.646420,0.000000
506,2.649809,2.649809,2.649809,0.000000
507,2.645804,2.645804,2.645804,0.000000
508,2.647528,2.647528,2.647528,0.000000
509,2.644542,2.644542,2.644542,0.000000
510,2.643401,2.643401,2.643401,0.000000
511,2.646904,2.646904,2.646904,0.000000
512,2.642657,2.642657,2.642657,0.000000
513,2.644408,2.644408,2.644408,0.000000
514,2.646379,2.646379,2.646379,0.000000
515,2.645858,2.645858,2.645858,0.000000
516,2.648801,2.648801,2.648801,0.000000
517,2.644931,2.644931,2.644931,0.000000
518,2.648605,2.648605,2.648605,0.000000
519,2.642152,2.642152,2.642152,0.000000
520,2.642959,2.642959,2.642959,0.000000
521,2.647305,2.647305,2.647305,0.000000
522,2.642870,2.642870,2.642870,0.000000
523,2.649806,2.649806,2.649806,0.000000
524,2.643266,2.643266,2.643266,0.000000
525,2.643701,2.643701,2.643701,0.000000
526,2.644496,2.644496,2.644496,0.000000
527,2.646933,2.646933,2.646933,0.000000
528,2.649694,2.649694,2.649694,0.000000
529,2.643466,2.643466,2.643466,0.000000
530,2.645355,2.645355,2.645355,0.000000
531,2.650148,2.650148,2.650148,0.000000
532,2.646837,2.646837,2.646837,0.000000
533,2.647626,2.647626,2.647626,0.000000
534,2.645661,2.645661,2.645661,0.000000
535,2.646731,2.646731,2.646731,0.000000
536,2.647837,2.647837,2.647837,0.000000
537,2.649760,2.649760,2.649760,0.000000
538,2.646591,2.646591,2.646591,0.000000
539,2.649827,2.649827,2.649827,0.000000
540,2.645720,2.645720,2.645720,0.000000
541,2.644293,2.644293,2.644293,0.000000
542,2.643342,2.643342,2.643342,0.000000
543,2.650003,2.650003,2.650003,0.000000
544,2.642303,2.642303,2.642303,0.000000
545,2.648641,2.648641,2.648641,0.000000
546,2.646379,2.646379,2.646379,0.000000
547,2.647558,2.647558,2.647558,0.000000
548,2.647047,2.647047,2.647047,0.000000
549,2.649614,2.649614,2.649614,0.000000
550,2.646469,2.646469,2.646469,0.000000
551,2.649562,2.649562,2.649562,0.000000
552,2.645809,2.645809,2.645809,0.000000
553,2.647401,2.647401,2.647401,0.000000
554,2.647980,2.647980,2.647980,0.000000
555,2.641880,2.641880,2.641880,0.000000
556,2.643887,2.643887,2.643887,0.000000
557,2.644842,2.644842,2.644842,0.000000
558,2.644065,2.644065,2.644065,0.000000
559,2.646600,2.646600,2.646600,0.000000
560,2.643294,2.643294,2.643294,0.000000
561,2.641981,2.641981,2.641981,0.000000
562,2.641741,2.641741,2.641741,0.000000
563,2.643728,2.643728,2.643728,0.000000
564,2.648961,2.648961,2.648961,0.000000
565,2.644469,2.644469,2.644469,0.000000
566,2.644368,2.644368,2.644368,0.000000
567,2.646461,2.646461,2.646461,0.000000
568,2.645073,2.645073,2.645073,0.000000
569,2.647930,2.647930,2.647930,0.000000
570,2.649534,2.649534,2.649534,0.000000
571,2.646476,2.646476,2.646476,0.000000
572,2.641960,2.641960,2.641960,0.000000
573,2.647946,2.647946,2.647946,0.000000
574,2.647351,2.647351,2.647351,0.000000
575,2.648400,2.648400,2.648400,0.000000
576,2.646241,2.646241,2.646241,0.000000
577,2.649400,2.649400,2.649400,0.000000
578,2.647646,2.647646,2.647646,0.000000
579,2.645356,2.645356,2.645356,0.000000
580,2.649414,2.649414,2.649414,0.000000
581,2.644459,2.644459,2.644459,0.000000
582,2.649782,2.649782,2.649782,0.000000
583,2.646975,2.646975,2.646975,0.000000
584,2.649528,2.649528,2.649528,0.000000
585,2.649731,2.649731,2.649731,0.000000
586,2.648141,2.648141,2.648141,0.000000
587,2.642086,2.642086,2.642086,0.000000
588,2.647635,2.647635,2.647635,0.000000
589,2.646076,2.646076,2.646076,0.000000
590,2.645546,2.645546,2.645546,0.000000
591,2.643364,2.643364,2.643364,0.000000
592,2.649411,2.649411,2.649411,0.000000
593,2.649065,2.649065,2.649065,0.000000
594,2.649577,2.649577,2.649577,0.000000
595,2.645904,2.645904,2.645904,0.000000
596,2.647218,2.647218,2.647218,0.000000
597,2.643889,2.643889,2.643889,0.000000
598,2.643888,2.643888,2.643888,0.000000
599,2.646168,2.646168,2.646168,0.000000
600,2.642564,2.642564,2.642564,0.000000
601,2.648181,2.648181,2.648181,0.000000
602,2.645542,2.645542,2.645542,0.000000
603,2.642526,2.642526,2.642526,0.000000
604,2.641441,2.641441,2.641441,0.000000
605,2.642124,2.642124,2.642124,0.000000
606,2.645643,2.645643,2.645643,0.000000
607,2.647082,2.647082,2.647082,0.000000
608,2.644641,2.644641,2.644641,0.000000
609,2.646657,2.646657,2.646657,0.000000
610,2.644180,2.644180,2.644180,0.000000
611,2.644614,2.644614,2.644614,0.000000
612,2.644619,2.644619,2.644619,0.000000
613,2.646100,2.646100,2.646100,0.000000
614,2.642437,2.642437,2.642437,0.000000
615,2.642466,2.642466,2.642466,0.000000
616,2.649152,2.649152,2.649152,0.000000
617,2.648406,2.648406,2.648406,0.000000
618,2.644842,2.644842,2.644842,0.000000
619,2.648222,2.648222,2.648222,0.000000
620,2.641930,2.641930,2.641930,0.000000
621,2.645791,2.645791,2.645791,0.000000
622,2.648703,2.648703,2.648703,0.000000
623,2.649516,2.649516,2.649516,0.000000
624,2.646178,2.646178,2.646178,0.000000
625,2.644497,2.644497,2.644497,0.000000
626,2.642065,2.642065,2.642065,0.000000
627,2.643714,2.643714,2.643714,0.000000
